iter	Passed	Remaining
0	136	136326
1	137	68661
2	138	45980
3	139	34636
4	139	27813
5	140	23336
6	141	20111
7	142	17667
8	143	15768
9	143	14246
10	144	13003
11	145	11956
12	145	11070
13	146	10323
14	147	9680
15	148	9123
16	148	8612
17	149	8162
18	150	7757
19	150	7398
20	151	7065
21	152	6783
22	153	6516
23	154	6264
24	154	6032
25	155	5815
26	155	5614
27	156	5428
28	156	5256
29	157	5094
30	158	4946
31	159	4815
32	159	4686
33	160	4564
34	161	4445
35	161	4332
36	162	4225
37	162	4124
38	163	4029
39	164	3938
40	164	3854
41	165	3778
42	166	3702
43	166	3627
44	167	3555
45	168	3485
46	168	3419
47	169	3356
48	169	3295
49	170	3242
50	171	3188
51	171	3135
52	172	3084
53	173	3034
54	173	2986
55	174	2939
56	175	2895
57	175	2853
58	176	2812
59	177	2773
60	177	2735
61	178	2698
62	178	2661
63	179	2625
64	180	2590
65	180	2556
66	181	2523
67	181	2491
68	182	2460
69	183	2433
70	183	2406
71	184	2379
72	185	2352
73	185	2325
74	186	2299
75	187	2273
76	187	2248
77	188	2224
78	188	2202
79	189	2181
80	190	2163
81	191	2143
82	191	2118
83	192	2098
84	193	2078
85	193	2058
86	194	2038
87	195	2020
88	195	2005
89	196	1990
90	197	1973
91	198	1955
92	198	1937
93	199	1920
94	199	1903
95	200	1886
96	200	1870
97	201	1857
98	202	1844
99	203	1829
100	203	1815
101	204	1800
102	205	1785
103	205	1771
104	206	1757
105	206	1743
106	207	1731
107	208	1719
108	208	1707
109	209	1694
110	210	1682
111	210	1669
112	211	1657
113	211	1645
114	212	1633
115	212	1621
116	213	1610
117	214	1602
118	215	1592
119	215	1582
120	216	1572
121	217	1561
122	217	1551
123	218	1541
124	218	1530
125	219	1521
126	219	1511
127	220	1502
128	221	1494
129	221	1485
130	222	1476
131	223	1468
132	223	1459
133	224	1451
134	225	1442
135	225	1433
136	226	1425
137	227	1417
138	227	1410
139	228	1402
140	228	1394
141	229	1385
142	229	1377
143	230	1369
144	230	1361
145	231	1354
146	232	1346
147	232	1341
148	233	1334
149	234	1327
150	234	1320
151	235	1313
152	235	1305
153	236	1298
154	236	1292
155	237	1285
156	238	1278
157	238	1273
158	239	1267
159	240	1261
160	240	1254
161	241	1248
162	241	1242
163	242	1236
164	243	1230
165	244	1226
166	244	1221
167	245	1217
168	246	1212
169	247	1206
170	247	1201
171	248	1195
172	248	1189
173	249	1184
174	250	1178
175	250	1173
176	251	1168
177	252	1164
178	252	1160
179	253	1154
180	254	1149
181	254	1144
182	255	1139
183	255	1134
184	256	1129
185	256	1124
186	257	1120
187	258	1115
188	259	1111
189	259	1106
190	260	1101
191	260	1097
192	261	1092
193	261	1087
194	262	1083
195	263	1078
196	263	1075
197	264	1071
198	265	1067
199	265	1063
200	266	1058
201	266	1054
202	267	1050
203	268	1045
204	268	1041
205	269	1037
206	269	1034
207	270	1031
208	271	1027
209	272	1023
210	272	1019
211	273	1015
212	273	1011
213	274	1007
214	274	1003
215	275	999
216	276	996
217	277	994
218	277	990
219	278	987
220	278	983
221	279	979
222	280	975
223	280	972
224	281	968
225	281	965
226	282	962
227	283	959
228	283	956
229	284	952
230	285	950
231	286	947
232	286	943
233	287	940
234	287	937
235	288	933
236	289	931
237	290	928
238	290	925
239	291	922
240	291	919
241	292	915
242	292	912
243	293	909
244	294	906
245	294	903
246	295	901
247	296	898
248	296	895
249	297	892
250	297	889
251	298	885
252	299	882
253	299	879
254	300	876
255	300	874
256	301	872
257	302	870
258	303	867
259	303	864
260	304	861
261	304	858
262	305	855
263	306	853
264	306	850
265	307	848
266	308	845
267	308	843
268	309	841
269	310	838
270	310	836
271	311	833
272	311	830
273	312	828
274	313	825
275	313	823
276	314	821
277	315	819
278	316	816
279	316	814
280	317	811
281	317	809
282	318	806
283	318	803
284	319	801
285	320	799
286	321	797
287	321	795
288	322	792
289	322	790
290	323	787
291	323	785
292	324	782
293	324	780
294	325	778
295	326	776
296	327	774
297	327	771
298	328	769
299	328	767
300	329	765
301	330	763
302	330	760
303	331	758
304	331	756
305	332	754
306	333	752
307	334	750
308	334	748
309	335	746
310	335	744
311	336	741
312	336	739
313	337	737
314	338	735
315	339	733
316	339	731
317	340	730
318	341	728
319	341	726
320	342	724
321	342	722
322	343	719
323	344	717
324	344	715
325	345	714
326	346	712
327	346	710
328	347	708
329	348	706
330	348	704
331	349	702
332	349	700
333	350	698
334	350	696
335	351	694
336	352	692
337	352	690
338	353	688
339	353	686
340	354	684
341	354	682
342	355	681
343	356	679
344	356	677
345	357	675
346	358	673
347	358	672
348	359	670
349	359	668
350	360	666
351	360	664
352	361	662
353	361	660
354	362	658
355	363	656
356	363	655
357	364	653
358	365	652
359	365	650
360	366	648
361	367	646
362	367	645
363	368	643
364	368	641
365	369	639
366	370	638
367	370	636
368	371	635
369	371	633
370	372	631
371	373	630
372	373	628
373	374	626
374	374	624
375	375	622
376	376	621
377	376	619
378	377	618
379	377	616
380	378	614
381	379	613
382	379	611
383	380	609
384	380	608
385	381	606
386	382	605
387	382	603
388	383	601
389	383	600
390	384	598
391	384	597
392	385	595
393	386	593
394	386	592
395	387	590
396	387	589
397	388	587
398	389	586
399	389	584
400	390	582
401	390	581
402	391	579
403	391	578
404	392	576
405	393	575
406	393	573
407	394	571
408	394	570
409	395	569
410	396	567
411	396	566
412	397	564
413	397	563
414	398	561
415	399	560
416	399	558
417	400	557
418	400	555
419	401	554
420	402	552
421	402	551
422	403	550
423	403	548
424	404	547
425	405	545
426	405	544
427	406	542
428	406	541
429	407	540
430	408	538
431	408	537
432	409	535
433	409	534
434	410	533
435	410	531
436	411	530
437	412	528
438	412	527
439	413	525
440	413	524
441	414	523
442	415	522
443	415	520
444	416	519
445	417	518
446	417	516
447	418	515
448	418	514
449	419	512
450	420	511
451	420	510
452	421	509
453	422	507
454	422	506
455	423	504
456	423	503
457	424	502
458	425	501
459	425	499
460	426	498
461	427	497
462	427	496
463	428	494
464	429	493
465	429	492
466	430	491
467	430	489
468	431	488
469	432	487
470	432	486
471	433	484
472	434	483
473	434	482
474	435	481
475	435	479
476	436	478
477	437	477
478	437	475
479	438	474
480	438	473
481	439	472
482	440	471
483	440	470
484	441	468
485	442	467
486	442	466
487	443	465
488	443	463
489	444	462
490	445	461
491	445	460
492	446	459
493	447	457
494	447	456
495	448	455
496	448	454
497	449	452
498	449	451
499	450	450
500	451	449
501	451	448
502	452	446
503	452	445
504	453	444
505	454	443
506	454	442
507	455	440
508	455	439
509	456	438
510	456	437
511	457	435
512	458	434
513	458	433
514	459	432
515	459	431
516	460	430
517	461	428
518	461	427
519	462	426
520	462	425
521	463	424
522	464	423
523	464	422
524	465	421
525	466	419
526	466	418
527	467	417
528	467	416
529	468	415
530	468	414
531	469	412
532	470	411
533	470	410
534	471	409
535	471	408
536	472	407
537	473	406
538	473	405
539	474	403
540	474	402
541	475	401
542	475	400
543	476	399
544	477	398
545	477	397
546	478	396
547	478	394
548	479	393
549	479	392
550	480	391
551	481	390
552	481	389
553	482	388
554	483	387
555	483	386
556	484	385
557	485	384
558	485	383
559	486	382
560	486	380
561	487	379
562	487	378
563	488	377
564	489	376
565	489	375
566	490	374
567	490	373
568	491	372
569	492	371
570	492	370
571	493	369
572	493	368
573	494	367
574	495	366
575	495	365
576	496	364
577	497	362
578	497	361
579	498	360
580	498	359
581	499	358
582	499	357
583	500	356
584	501	355
585	501	354
586	502	353
